,MAQCA,MAQCB
ENSG00000119705,23.41,23.97
ENSG00000119707,23.25,23.55
ENSG00000119711,21.29,19.72
ENSG00000119714,24.37,24.8
ENSG00000119715,25.75,28.14
ENSG00000119718,22.08,23.12
ENSG00000119720,25.21,24.33
ENSG00000119723,22.44,22.95
ENSG00000119725,24.43,25.07
ENSG00000119737,29.3,23.43
ENSG00000119760,20.09,20.54
ENSG00000119771,24.33,23.04
ENSG00000119772,21.22,22.25
ENSG00000119777,20.12,22.02
ENSG00000119778,22.78,23.4
ENSG00000119782,22.41,21.31
ENSG00000119787,19.84,23.08
ENSG00000119801,22.85,20.6
ENSG00000119812,21.27,21.29
ENSG00000119820,20.18,20.62
ENSG00000119844,21.16,20.39
ENSG00000119862,22,21.22
ENSG00000119865,22.09,19.61
ENSG00000119866,21.61,20.53
ENSG00000119878,21.93,22.13
ENSG00000119888,20.29,25.08
ENSG00000119899,22.63,22.7
ENSG00000119900,26.12,24.4
ENSG00000119906,22.64,21.93
ENSG00000119912,20.35,21.46
ENSG00000119915,27.81,28.44
ENSG00000119917,24.59,25.03
ENSG00000119919,29.24,34.29
ENSG00000119922,24.58,22.92
ENSG00000119927,22.46,23.11
ENSG00000119929,22.18,23.25
ENSG00000119938,21.28,21.04
ENSG00000119943,24.36,25.54
ENSG00000119946,24.67,21.29
ENSG00000119950,19.39,18.99
ENSG00000119953,25.27,25.54
ENSG00000119965,23.27,23.02
ENSG00000119969,19.8,23.8
ENSG00000119973,36.34,26.73
ENSG00000119977,20.68,22.2
ENSG00000119986,20.69,21.79
ENSG00000120008,20.78,21.6
ENSG00000120029,21.68,20.99
ENSG00000120049,24.14,21.28
ENSG00000120051,27.53,28.27
ENSG00000120053,20.33,18.64
ENSG00000120054,24.85,35.14
ENSG00000120057,28.24,26
ENSG00000120063,21.09,21.55
ENSG00000120068,23.04,29.91
ENSG00000120075,23.68,31.3
ENSG00000260027,23.81,31.6
ENSG00000120088,30.58,22.72
ENSG00000120093,26.15,34.41
ENSG00000120094,30.22,0
ENSG00000120129,20.58,20.34
ENSG00000120137,21.26,21.39
ENSG00000120149,23.7,25.27
ENSG00000120156,27.56,25.67
ENSG00000120158,21.54,22.36
ENSG00000120159,22.17,23.19
ENSG00000120160,28.29,26.94
ENSG00000120162,22.42,21.87
ENSG00000120210,31.09,33.23
ENSG00000120211,26.51,35.48
ENSG00000120215,18.67,34.04
ENSG00000120217,26.56,25.09
ENSG00000120235,33.2,28.42
ENSG00000120242,33.26,27.19
ENSG00000120251,31.63,19.28
ENSG00000120253,19.78,21.97
ENSG00000120254,21.19,22.38
ENSG00000120256,20.81,20.82
ENSG00000120262,24.87,26.51
ENSG00000120265,19.56,18.92
ENSG00000120278,25.54,23.25
ENSG00000120279,28.45,25.05
ENSG00000120280,27.38,27.13
ENSG00000120289,33.41,35.04
ENSG00000120306,20.08,20.74
ENSG00000120314,23.58,23.04
ENSG00000120318,22.58,24.52
ENSG00000120322,24.59,24.73
ENSG00000120324,24.37,22.77
ENSG00000120327,24.47,22.84
ENSG00000120328,24.85,22.71
ENSG00000120329,27.83,28.44
ENSG00000120332,29.77,29.32
ENSG00000120333,20.53,21.51
ENSG00000120334,21.45,24.48
ENSG00000120337,31.16,28.25
ENSG00000120341,27.34,26.31
ENSG00000120370,23.13,23.65
ENSG00000120436,33.02,33.1
ENSG00000120437,20.68,22.14
ENSG00000120438,18.87,20.27
ENSG00000120440,39.95,42.61
ENSG00000120451,21.69,21.08
ENSG00000120457,30.82,27.36
ENSG00000120458,22.85,23.41
ENSG00000120471,30.43,28.09
ENSG00000120498,28.64,32.06
ENSG00000120500,33.95,0
ENSG00000120509,20.86,21.1
ENSG00000120519,23.83,24.64
ENSG00000120526,21.91,22.97
ENSG00000120533,19.76,21.18
ENSG00000120539,21.71,24.75
ENSG00000120549,22.02,21.77
ENSG00000120555,25.56,26.15
ENSG00000120563,29.5,34.55
ENSG00000120594,25.37,22.18
ENSG00000120616,22.17,21.98
ENSG00000120645,29.53,20.78
ENSG00000120647,22.06,24.06
ENSG00000120656,20.24,21.98
ENSG00000120658,24.24,22.74
ENSG00000120659,29.9,33.73
ENSG00000120662,22.81,23.47
ENSG00000120664,26.28,27.83
ENSG00000120669,27.66,29.82
ENSG00000120675,20.98,20.76
ENSG00000120685,21.41,22.34
ENSG00000120686,20.48,20.52
ENSG00000120688,23.11,22.28
ENSG00000120690,20.52,23.01
ENSG00000120693,22.49,22.15
ENSG00000120694,19.66,19.83
ENSG00000120696,25.08,24.35
ENSG00000120697,20.32,22.04
ENSG00000120699,20.9,22.49
ENSG00000120705,19.3,20.95
ENSG00000120708,18.85,24.17
ENSG00000120709,22.44,22.33
ENSG00000120725,21,22.06
ENSG00000120727,19.69,19.5
ENSG00000120729,32.19,24
ENSG00000120733,20.67,20.81
ENSG00000120738,19.5,23.23
ENSG00000120742,20.3,0
ENSG00000120756,23,25.02
ENSG00000120784,23.85,23.43
ENSG00000120798,22.18,22.56
ENSG00000120800,21.23,23.33
ENSG00000120802,20.49,22.3
ENSG00000120805,20.05,20.23
ENSG00000120820,23.67,24.72
ENSG00000120832,22.54,22.41
ENSG00000120833,22.38,24.72
ENSG00000120837,20.7,21.16
ENSG00000120860,20.62,20.9
ENSG00000120868,21.92,23.42
ENSG00000120875,32.91,0
ENSG00000120885,17.68,13.28
ENSG00000120889,20.21,24.25
ENSG00000120896,26.52,25.56
ENSG00000120899,21.01,19.15
ENSG00000120903,32.82,25.17
ENSG00000120907,33.74,23.42
ENSG00000120910,21.82,21.95
ENSG00000120913,25.23,23.98
ENSG00000120915,22.76,23.95
ENSG00000120925,22.52,22.02
ENSG00000120937,25.41,28.2
ENSG00000120942,21.15,22.42
ENSG00000120948,19.18,20.06
ENSG00000120949,24.15,29.57
ENSG00000120963,18.59,19.19
ENSG00000120992,19.25,22.63
ENSG00000121005,25.16,25.01
ENSG00000121022,20.32,20.74
ENSG00000121053,32.07,36
ENSG00000121057,20.33,20.74
ENSG00000121058,20.83,22.04
ENSG00000121060,21.02,22.9
ENSG00000121064,22.32,23.11
ENSG00000121067,21.56,21.4
ENSG00000121068,21.75,24.63
ENSG00000121073,20.24,21.56
ENSG00000121075,29.26,35.16
ENSG00000264364,20.06,18.48
ENSG00000121101,28.84,28.3
ENSG00000121104,22.78,24.3
ENSG00000121152,21.01,27.35
ENSG00000121207,25.14,26.97
ENSG00000121210,22.08,24.94
ENSG00000121211,21.81,27.17
ENSG00000121236,25.17,28.42
ENSG00000121270,28.84,28.36
ENSG00000121274,21.52,21.53
ENSG00000121281,22.35,24.64
ENSG00000121289,24.14,25.18
ENSG00000121297,24.18,22.68
ENSG00000121310,24.26,22.73
ENSG00000121314,29.15,27.24
ENSG00000121316,37.87,34.95
ENSG00000121318,25.03,25.48
ENSG00000121335,27.36,24.62
ENSG00000121350,22.97,22.52
ENSG00000121351,27.06,33.25
ENSG00000121361,24.97,24.45
ENSG00000121377,30.46,28.43
ENSG00000121380,26.54,31.76
ENSG00000121381,29.58,27.92
ENSG00000121388,27.18,34.69
ENSG00000121390,20.41,20.76
ENSG00000121406,24.02,24.12
ENSG00000121413,24.67,22.28
ENSG00000121417,25.09,24.55
ENSG00000121440,22.51,0
ENSG00000121454,24.33,24.72
ENSG00000121481,21.21,22.39
ENSG00000121486,21.45,22.27
ENSG00000121542,25.24,25.4
ENSG00000121552,25.46,27.87
ENSG00000121570,21.05,33.43
ENSG00000121577,27.8,26.24
ENSG00000121578,21.93,23.47
ENSG00000121579,18.7,20.35
ENSG00000121594,29.4,30.12
ENSG00000121621,23.28,29.52
ENSG00000121634,34.54,34.43
ENSG00000121671,22.21,20.64
ENSG00000121680,22.09,22.07
ENSG00000121690,23.51,26.08
ENSG00000121691,19.94,21.49
ENSG00000121741,20.42,20.68
ENSG00000121742,35.86,22.78
ENSG00000121743,26,30.5
ENSG00000121749,21.54,21.75
ENSG00000121753,23.01,20.31
ENSG00000121764,26.15,27.18
ENSG00000121766,20.04,20.58
ENSG00000121769,23.7,20.69
ENSG00000121774,19.77,21.05
ENSG00000121775,21.73,23
ENSG00000121797,25.23,27.17
ENSG00000121807,24.18,29.77
ENSG00000121848,21.1,20.39
ENSG00000121851,21.6,22.47
ENSG00000121853,34.87,32.33
ENSG00000121858,23.14,24.31
ENSG00000121864,21.25,21.82
ENSG00000121871,31.71,22.75
ENSG00000121879,21.59,21.21
ENSG00000121895,25.97,27.11
ENSG00000121897,22.6,23.25
ENSG00000121898,25.09,24.39
ENSG00000121900,21.71,22.17
ENSG00000121903,24.48,24.5
ENSG00000121904,26.46,23.57
ENSG00000121905,27.61,19.47
ENSG00000121931,20.12,21.84
ENSG00000121933,32.05,23.78
ENSG00000121940,25.03,24.91
ENSG00000121957,21.29,22.13
ENSG00000121964,22.9,21.26
ENSG00000121966,20.79,24.59
ENSG00000121988,22.74,24.43
ENSG00000121989,22.61,22
ENSG00000122008,22.34,22.6
ENSG00000122012,29.65,22.64
ENSG00000122025,29.93,22.79
ENSG00000122026,24.64,24.64
ENSG00000122033,21.61,22.09
ENSG00000122034,19.63,21
ENSG00000122035,22.55,23.21
ENSG00000122042,20.31,19.51
ENSG00000122043,0,0
ENSG00000122068,21.51,21.93
ENSG00000122085,21.83,21.93
ENSG00000122121,28.49,33.94
ENSG00000122122,25.74,25.58
ENSG00000122126,21.37,21.08
ENSG00000122133,26.02,36.6
ENSG00000122136,34.2,34.1
ENSG00000122140,19.99,21.76
ENSG00000122145,29.36,31.61
ENSG00000122176,25.28,25.08
ENSG00000122180,33.07,29.41
ENSG00000122188,27.1,30.49
ENSG00000122203,20.5,20.89
ENSG00000122218,19.27,20.05
ENSG00000122223,31.64,29.46
ENSG00000122224,26.75,31.14
ENSG00000122254,29.56,22.79
ENSG00000122257,21.48,22.12
ENSG00000122299,20.92,22.05
ENSG00000122304,32.32,32.26
ENSG00000122335,23.54,22.74
ENSG00000122359,19.08,20.21
ENSG00000122367,26.79,22.94
ENSG00000122375,34.19,27.59
ENSG00000122376,21.53,24.24
ENSG00000122378,19.32,18.91
ENSG00000122417,22.44,22.2
ENSG00000122420,24.51,27.6
ENSG00000122435,23.83,24.73
ENSG00000122477,25.01,23.3
ENSG00000122482,20.85,20.91
ENSG00000122483,22.07,25.4
ENSG00000122484,22.54,21.15
ENSG00000122490,24.32,22.07
ENSG00000122507,22.45,21.77
ENSG00000122512,21.75,21.63
ENSG00000122515,21.51,21.33
ENSG00000122543,29.07,25.87
ENSG00000122545,18.59,17.99
ENSG00000122547,23.19,22.59
ENSG00000122548,31.16,28.01
ENSG00000122550,21.53,21.64
ENSG00000122557,20.88,21.32
ENSG00000122565,18.95,20.75
ENSG00000122566,16.37,18.32
ENSG00000122574,28.28,24.01
ENSG00000122584,27.86,22.44
ENSG00000122585,28.79,21.9
ENSG00000122591,22.45,24.8
ENSG00000122592,0,0
ENSG00000122641,23.3,25.63
ENSG00000122644,20.01,21.21
ENSG00000122678,22.13,22.86
ENSG00000122679,24.63,24.14
ENSG00000122687,20.41,22.27
ENSG00000122692,19.68,20.17
ENSG00000122694,23.66,22.64
ENSG00000122696,22.01,22.23
ENSG00000122705,20.01,19.72
ENSG00000122707,23.29,23.98
ENSG00000122711,27.21,34.69
ENSG00000122718,31.38,29.37
ENSG00000122729,28.16,30.41
ENSG00000122733,28.09,21.09
ENSG00000122735,28.2,27.13
ENSG00000122741,21.03,21.9
ENSG00000122756,25.04,21.7
ENSG00000122778,21.83,22.54
ENSG00000122779,19.25,21.01
ENSG00000122786,20.22,21.28
ENSG00000122787,25.58,33.52
ENSG00000122824,25.06,22.31
ENSG00000122852,27.19,27.44
ENSG00000122859,33.49,28.41
ENSG00000122861,21.69,27.46
ENSG00000122862,20.58,20.21
ENSG00000122863,22.71,23.03
ENSG00000122870,23.44,0
ENSG00000122873,20.52,20.24
ENSG00000122877,26.31,25.79
ENSG00000122882,21.91,22.5
ENSG00000122884,19.09,21.92
ENSG00000122912,22.4,22.47
ENSG00000122952,20.66,26.49
ENSG00000122958,20.91,20.75
ENSG00000122965,20.61,21.37
ENSG00000122966,21.25,20.64
ENSG00000122970,20.75,0
ENSG00000122971,22.95,24.16
ENSG00000122986,25.2,0
ENSG00000123064,20.25,22.26
ENSG00000123066,21,21.22
ENSG00000123080,20.33,23.24
ENSG00000123091,20.06,18.71
ENSG00000123094,21.46,21.78
ENSG00000123095,22.81,20.3
ENSG00000123096,24.03,22.14
ENSG00000123104,21.09,22.16
ENSG00000123106,21.51,21.33
ENSG00000123119,24.3,18.99
ENSG00000123124,21.04,21.28
ENSG00000123130,21.19,22.77
ENSG00000123131,19.03,23.12
ENSG00000123136,20.01,22.81
ENSG00000123143,21.51,22.66
ENSG00000123144,19.68,20.29
ENSG00000123146,19.83,23.03
ENSG00000123154,21.98,22.18
ENSG00000123159,20.85,21.57
ENSG00000123165,32.82,32.19
ENSG00000123171,34.93,0
ENSG00000123178,21.54,20.74
ENSG00000123179,20.86,23.2
ENSG00000123191,22.73,23.39
ENSG00000123200,20.41,20.21
ENSG00000123213,20.95,22.43
ENSG00000123219,20.21,26.85
ENSG00000123240,20.7,19.35
ENSG00000123243,30.21,28.21
ENSG00000123268,20.7,22.3
ENSG00000123297,20.75,20.99
ENSG00000123307,33.95,29.59
ENSG00000123329,28.56,24.89
ENSG00000123338,21.36,24.42
ENSG00000123342,26.31,30.79
ENSG00000123349,17.85,18.66
ENSG00000123352,20.72,21.7
ENSG00000123353,20,22.63
ENSG00000123358,20.83,22.27
ENSG00000123360,26.3,20.78
ENSG00000123364,25.16,9.9
ENSG00000123374,19.07,0
ENSG00000123384,19.23,19.01
ENSG00000123388,24.61,0
ENSG00000123395,21.26,22.36
ENSG00000123405,21.35,28.9
ENSG00000123407,28,0
ENSG00000123411,23.91,23.94
ENSG00000123415,22.17,23
ENSG00000123416,23.61,24.31
ENSG00000123427,22.58,26.05
ENSG00000123444,22.53,22.4
ENSG00000123453,23.17,25.36
ENSG00000123454,29.91,27.43
ENSG00000123472,22.04,21.39
ENSG00000123473,21.11,22.87
ENSG00000123485,21.2,33.68
ENSG00000123496,26.91,26.08
ENSG00000123500,0,0
ENSG00000123505,20.94,20.83
ENSG00000123545,23.71,21.22
ENSG00000123552,22.39,20.49
ENSG00000123560,21.55,15.71
ENSG00000123561,21.84,34.15
ENSG00000123562,18.22,18.77
ENSG00000123569,30.43,33.87
ENSG00000123570,27.82,23
ENSG00000123572,26.98,23.45
ENSG00000123575,21.24,20.85
ENSG00000123576,29.98,36.87
ENSG00000123594,27.05,33.23
ENSG00000123595,21.97,22.78
ENSG00000123600,23.43,25.44
ENSG00000123607,21.72,21.54
ENSG00000123609,21.14,24.42
ENSG00000123610,24.27,25.45
ENSG00000123612,28.29,24.35
ENSG00000123636,22.31,20.42
ENSG00000123643,22.77,20.49
ENSG00000123685,25.55,25.39
ENSG00000123689,21.25,25.06
ENSG00000123700,27.08,22.29
ENSG00000123728,20.87,22.18
ENSG00000123737,20.63,22.46
ENSG00000123739,31.97,30.06
ENSG00000123810,24.92,25.25
ENSG00000123815,22.39,22.49
ENSG00000123836,22.85,22.19
ENSG00000123838,23.6,35.2
ENSG00000123843,21.24,31.95
ENSG00000123892,21.26,28.14
ENSG00000123901,28.64,21.76
ENSG00000123908,20.63,21.91
ENSG00000123975,17.57,23.64
ENSG00000123977,30.3,25.83
ENSG00000123983,24.63,22.47
ENSG00000123989,19.74,21.51
ENSG00000123992,21.02,22.76
ENSG00000123999,24.12,26.31
ENSG00000124003,35.43,0
ENSG00000124006,20.06,21.34
ENSG00000124019,26.31,27.56
ENSG00000124067,21.15,22.76
ENSG00000124074,22.78,0
ENSG00000124089,30.86,30.35
ENSG00000124091,35.44,34.03
ENSG00000124098,25.35,25.9
ENSG00000124102,29.66,35.3
ENSG00000124103,26.54,27.96
ENSG00000124104,28.13,28.83
ENSG00000124107,24.09,29.55
ENSG00000124116,30.51,30.1
ENSG00000124120,21.56,22.55
ENSG00000124126,22.18,20.51
ENSG00000124134,25.5,21.49
ENSG00000124140,28.03,19.59
ENSG00000124143,30.07,31.48
ENSG00000124145,20.85,21.54
ENSG00000124151,19.94,22.72
ENSG00000124155,19.36,20.94
ENSG00000124157,0,33.58
ENSG00000124159,27.82,30.57
ENSG00000124160,21.17,21.66
ENSG00000124164,19.74,19.88
ENSG00000124171,23.14,26.6
ENSG00000124172,24.95,24.67
ENSG00000124177,20.66,21.2
ENSG00000124181,19.5,20.16
ENSG00000124191,23.34,23.05
ENSG00000124193,19.12,19.72
ENSG00000124194,25.48,20.73
ENSG00000124196,31.42,0
ENSG00000124198,20.97,21.36
ENSG00000124201,22.05,22.86
ENSG00000124203,34.26,26.27
ENSG00000124205,34.33,25.97
ENSG00000124207,18.43,20.86
ENSG00000124209,20.15,20.06
ENSG00000124212,23.24,25.26
ENSG00000124214,19.04,20.19
ENSG00000124215,27.14,27.06
ENSG00000124216,23.04,25.7
ENSG00000124217,22.47,23.54
ENSG00000124222,19.93,20.96
ENSG00000124224,25.16,27.15
ENSG00000124225,22.48,22.27
ENSG00000124226,20.65,22.1
ENSG00000124227,0,0
ENSG00000124228,20.44,22.28
ENSG00000124232,39.83,32.31
ENSG00000124233,29.23,33.25
ENSG00000124237,0,31.75
ENSG00000124243,23.35,22.68
ENSG00000124249,23.06,27.61
ENSG00000124251,30.23,24.14
ENSG00000124253,21.87,27.04
ENSG00000124256,26.19,29.6
ENSG00000124257,24.11,24.36
ENSG00000124275,21.92,22.51
ENSG00000124279,22.08,23.63
ENSG00000124299,21.06,21.59
ENSG00000124302,26.16,24.21
ENSG00000124313,24.15,21.32
ENSG00000124333,20.51,21.23
ENSG00000124334,25.21,33.39
ENSG00000124343,29.16,31.31
ENSG00000124356,20.9,21.63
ENSG00000124357,22.38,21.98
ENSG00000124370,21.81,23.67
ENSG00000124374,23.33,20.09
ENSG00000124380,28.58,27.14
ENSG00000124383,21.15,22.37
ENSG00000124391,31.25,30.99
ENSG00000124406,24.33,19.42
ENSG00000124422,19.11,19.22
ENSG00000124429,26.83,33.27
ENSG00000124440,26.28,23.19
ENSG00000124444,23.53,22.83
ENSG00000124449,33.01,30.19
ENSG00000234465,26.91,28.22
ENSG00000124459,23.43,23.89
ENSG00000124466,23.28,33.09
ENSG00000124469,28.94,27.53
ENSG00000124479,24.66,23.59
ENSG00000124486,19.51,20.07
ENSG00000124490,33.84,33.05
ENSG00000124491,29.66,23.13
ENSG00000124493,27.12,20.34
ENSG00000124496,22.38,22.94
ENSG00000124507,25.11,18.73
ENSG00000124508,22.66,24.14
ENSG00000124523,21.95,21.65
ENSG00000124529,17.8,19.59
ENSG00000124532,20.74,21.72
ENSG00000124535,21.54,22.13
ENSG00000124541,20.5,21.58
ENSG00000124557,30.93,30.8
ENSG00000124562,19.01,21.45
ENSG00000124564,31.56,34.44
ENSG00000124568,32.86,0
ENSG00000124570,19.63,21.53
ENSG00000124571,21.13,25.52
ENSG00000124574,22.92,23.81
ENSG00000124575,17.87,20.92
ENSG00000124578,32.32,38.47
ENSG00000124587,24.19,23.74
ENSG00000124588,21,21.01
ENSG00000124593,23.29,24.72
ENSG00000124596,21.08,22.99
ENSG00000124602,27.02,28.23
ENSG00000124608,21.84,23.03
ENSG00000124610,25.15,25.43
ENSG00000124613,23.96,23.51
ENSG00000124614,22.84,25.35
ENSG00000124615,24.43,23.9
ENSG00000124635,25.49,32.17
ENSG00000124641,23.16,25.14
ENSG00000124657,24.34,30.29
ENSG00000124659,21.45,22
ENSG00000124664,24.07,26.73
ENSG00000124678,29.02,28.57
ENSG00000124688,21.11,22.52
ENSG00000124693,16.58,26.67
ENSG00000124701,31.05,31.12
ENSG00000124702,0,0
ENSG00000124713,28.33,27.41
ENSG00000124721,23.52,30.34
ENSG00000124731,27.41,28.56
ENSG00000124733,20.15,21.09
ENSG00000124743,29.67,30.32
ENSG00000124749,27.45,24.03
ENSG00000124762,21.17,21.55
ENSG00000124766,18.32,22.95
ENSG00000124767,18.78,20.5
ENSG00000124772,26.57,21.46
ENSG00000124780,26.81,28.32
ENSG00000124782,21.23,24.93
ENSG00000124783,17.9,19.51
ENSG00000124784,21.41,23.2
ENSG00000124785,20.33,18.79
ENSG00000124786,22.27,23.61
ENSG00000124787,21.58,23.96
ENSG00000124788,21.95,20.86
ENSG00000124789,20.02,21.64
ENSG00000124795,18.63,20.35
ENSG00000124812,31.48,0
ENSG00000124813,23.51,25.71
ENSG00000124818,31.21,30.42
ENSG00000124827,35.08,34.93
ENSG00000124831,20.37,23.87
ENSG00000124839,23.07,27.7
ENSG00000124875,30.34,29.45
ENSG00000124882,24.4,31.15
ENSG00000124900,25.48,29.88
ENSG00000124920,22.47,20.01
ENSG00000124935,29.38,26.68
ENSG00000124939,33.8,33.28
ENSG00000124942,18.39,20.84
ENSG00000125037,20.32,20.78
ENSG00000125046,23.41,28.12
ENSG00000125084,32.6,35.03
ENSG00000125089,22.51,24.4
ENSG00000125107,19.22,20.81
ENSG00000125122,27.01,26.52
ENSG00000125124,21.3,20.13
ENSG00000125144,24.29,21.1
ENSG00000125148,17.17,17.35
ENSG00000125149,21.02,21.28
ENSG00000125166,18.8,19.04
ENSG00000125170,21.9,22.12
ENSG00000125207,32.32,32.68
ENSG00000125245,0,37.95
ENSG00000125246,22.69,23.27
ENSG00000125247,21.87,22.23
ENSG00000125249,20.98,19.66
ENSG00000125255,0,0
ENSG00000125257,20.62,24.06
ENSG00000125266,23.31,22.51
ENSG00000125285,22.76,22.94
ENSG00000125304,19.72,20.45
ENSG00000125319,23.14,27.88
ENSG00000125337,28.36,24.84
ENSG00000125347,21.66,23.74
ENSG00000125351,21.45,23.03
ENSG00000125352,22.38,23.6
ENSG00000125354,20.25,21.09
ENSG00000125355,24.33,24.46
ENSG00000125356,18,18.35
ENSG00000125363,35.32,33.63
ENSG00000125375,22.79,22.63
ENSG00000125378,23.57,23.61
ENSG00000125384,25.79,30.56
ENSG00000125386,21.77,22.07
ENSG00000125388,27.24,21.91
ENSG00000125398,22.06,22.14
ENSG00000125409,28.18,25.15
ENSG00000125414,29.59,36.85
ENSG00000125430,28.94,33.02
ENSG00000125434,24.57,26.89
ENSG00000125445,19.77,20.94
ENSG00000125447,21.4,21.41
ENSG00000125449,23.02,23.13
ENSG00000125450,20.11,21.81
ENSG00000125454,22.41,24.02
ENSG00000125457,23.62,26.04
ENSG00000125458,20.84,22.27
ENSG00000125462,29.68,21.54
ENSG00000125482,22.26,23.04
ENSG00000125484,20.92,21.74
ENSG00000125485,21.93,23.46
ENSG00000125492,27.44,23.24
ENSG00000125498,0,37.58
ENSG00000125503,23.28,22.14
ENSG00000125505,21.14,21.65
ENSG00000125508,31.07,35.27
ENSG00000125510,27.64,24.72
ENSG00000125520,21.49,24.18
ENSG00000125522,36.58,34.89
ENSG00000125531,24.75,29.35
ENSG00000125533,27.22,34.65
ENSG00000125534,20.7,21.88
ENSG00000125538,26.53,25.33
ENSG00000125571,34.87,0
ENSG00000125611,26.08,26.35
ENSG00000125618,26.19,27.96
ENSG00000125629,20.74,21.25
ENSG00000125630,21.01,22.74
ENSG00000125633,22.3,22.97
ENSG00000125637,22.2,25.4
ENSG00000125648,22.4,20.58
ENSG00000125650,27.62,27.23
ENSG00000125651,20.77,20.82
ENSG00000125652,28.53,26.71
ENSG00000125656,20.07,21.62
ENSG00000125657,21.5,24.69
ENSG00000125675,30.01,21.55
ENSG00000125676,20.1,21.97
ENSG00000125686,20.89,31.62
ENSG00000125691,23.74,25.14
ENSG00000266173,22.05,21.94
ENSG00000125703,21.82,20.91
ENSG00000125730,18.36,20.76
ENSG00000125731,23.68,32.88
ENSG00000125733,21.17,23.84
ENSG00000125734,21.32,22.12
ENSG00000125735,26.75,31.02
ENSG00000125740,25.17,27.06
ENSG00000125741,22.61,23.24
ENSG00000125743,24.34,26.39
ENSG00000125744,22.53,21.38
ENSG00000125746,21.79,21.15
ENSG00000125753,20.6,23.28
ENSG00000125755,21,21.89
ENSG00000125772,21.65,21.66
ENSG00000125775,27.53,26.49
ENSG00000125779,21.21,21.58
ENSG00000125780,31.67,29.35
ENSG00000125787,26.85,26.41
ENSG00000125788,35.02,0
ENSG00000125798,26.17,40.65
ENSG00000125810,27.18,23.77
ENSG00000125812,21.64,21.92
ENSG00000125813,41.35,35.09
ENSG00000125814,23.16,18.45
ENSG00000125815,35.21,35.02
ENSG00000125816,25.54,30.22
ENSG00000125817,19.36,20.36
ENSG00000125818,19.18,19.86
ENSG00000125820,24.68,23.28
ENSG00000125821,21.06,21.49
ENSG00000125823,32.06,33.95
ENSG00000125826,20.35,23.1
ENSG00000125827,21.78,20.87
ENSG00000125831,32.81,41.26
ENSG00000125834,21.22,21.97
ENSG00000125835,18.72,22.11
ENSG00000125841,21.67,20.51
ENSG00000125843,22.86,23.67
ENSG00000125845,23.57,25.11
ENSG00000125846,23.04,23.08
ENSG00000125848,24.16,21.78
ENSG00000125850,26.68,26.76
ENSG00000125851,25.18,21.02
ENSG00000125861,30.49,30.19
ENSG00000125863,22.55,0
ENSG00000125864,25.48,26.12
ENSG00000125868,23.56,23.08
ENSG00000125869,26.63,22.07
ENSG00000125870,19.41,21.1
ENSG00000125871,20.49,24.15
ENSG00000125872,28.94,28.09
ENSG00000125875,21.84,21.86
ENSG00000125877,20.81,22.5
ENSG00000125878,30.18,30.79
ENSG00000125879,31.97,35.66
ENSG00000125885,21.21,24.19
ENSG00000125888,37.3,39.99
ENSG00000125895,24.28,24.32
ENSG00000125898,22.85,25.25
ENSG00000125899,36.38,33.43
ENSG00000125900,32.32,30.75
ENSG00000125901,20.38,20.69
ENSG00000125903,0,37.81
ENSG00000125910,32.41,32.57
ENSG00000125912,20.76,22.44
ENSG00000125931,23.85,23.62
ENSG00000125944,18.28,19.67
ENSG00000125945,22.6,21.95
ENSG00000125952,21.1,20.9
ENSG00000125962,22.97,23.57
ENSG00000125965,24.69,30.24
ENSG00000125966,25.17,21.09
ENSG00000125967,22.54,22.95
ENSG00000125968,18.86,21.6
ENSG00000125970,18.29,20.16
ENSG00000125971,27.13,27.25
ENSG00000125975,35.96,38.51
ENSG00000125977,22.33,23.82
ENSG00000125991,18.49,20.77
ENSG00000125995,17.12,19.78
ENSG00000125998,32.26,0
ENSG00000125999,29.44,0
ENSG00000126001,23.9,25.16
ENSG00000126003,21.55,23.54
ENSG00000126010,24.62,25.43
ENSG00000126012,19.38,20.29
ENSG00000126016,23.1,22.58
ENSG00000126062,21.89,22.14
ENSG00000126067,18.78,20.69
ENSG00000126070,21.8,22.18
ENSG00000126088,19.9,21.26
ENSG00000126091,22.38,22.08
ENSG00000126106,23.04,23.56
ENSG00000126107,21.17,21.72
ENSG00000126214,20.71,22.16
ENSG00000126215,22.88,25.51
ENSG00000126216,21.32,22.26
ENSG00000126217,24.36,20.32
ENSG00000126218,22.46,25.16
ENSG00000126226,20.12,21.72
ENSG00000126231,27.27,30.16
ENSG00000126233,29.76,35.5
ENSG00000126243,23.45,22.3
ENSG00000126247,18.59,18.78
ENSG00000126249,21.39,22.89
ENSG00000126254,21.48,21.69
ENSG00000126259,34.82,27.5
ENSG00000126261,19.52,20.31
ENSG00000126262,28.7,30.65
ENSG00000126264,26.39,24.78
ENSG00000126266,32.03,28.33
ENSG00000126267,17.73,18.35
ENSG00000126337,33.06,0
ENSG00000126351,22.26,19.84
ENSG00000126353,28,0
ENSG00000126368,21.47,20.09
ENSG00000126391,22.1,23.46
ENSG00000126432,18.2,18.4
ENSG00000126456,22.59,25
ENSG00000126457,18.31,19.92
ENSG00000126458,23.43,25.1
ENSG00000126460,27.18,28.5
ENSG00000126461,20.77,20.67
ENSG00000126464,21.58,21.41
ENSG00000126467,30.05,32.42
ENSG00000126500,23.88,22.34
