,MAQCA,MAQCB
ENSG00000007923,21.12,21.8
ENSG00000007933,30.05,29.31
ENSG00000007944,21.07,22.37
ENSG00000007952,33.16,32.27
ENSG00000007968,21.64,31.36
ENSG00000008018,18.32,20.35
ENSG00000008056,27.26,19.08
ENSG00000008083,20.27,21.36
ENSG00000008086,34.22,34.03
ENSG00000008118,27.12,21.73
ENSG00000008128,23.96,26.36
ENSG00000008130,20.63,22.04
ENSG00000008196,0,27.08
ENSG00000008197,0,29.96
ENSG00000008226,29.1,28.1
ENSG00000008256,27.02,27.64
ENSG00000008277,22.98,19.39
ENSG00000008282,19.4,21.21
ENSG00000008283,21.94,23.75
ENSG00000008294,19.76,19.08
ENSG00000008300,22.33,21.55
ENSG00000008311,22.09,22.76
ENSG00000008323,25.32,34.25
ENSG00000008324,20.18,20.91
ENSG00000008382,24.96,24.98
ENSG00000008394,18.23,20.06
ENSG00000008405,21.04,21.36
ENSG00000008438,0,32.22
ENSG00000008441,20.06,18.47
ENSG00000008513,22.1,23.6
ENSG00000008516,26.8,29.27
ENSG00000008517,22.99,28.05
ENSG00000008710,21.44,19.88
ENSG00000008735,25.04,19.32
ENSG00000008838,21.27,22.1
ENSG00000008869,21.67,21.27
ENSG00000008952,26.07,25.39
ENSG00000008988,27.53,27.37
ENSG00000009307,16.62,17.76
ENSG00000009335,19.5,20.58
ENSG00000009413,21.27,21.19
ENSG00000009694,25.23,21.56
ENSG00000009709,33.64,33.13
ENSG00000009724,28.37,33.17
ENSG00000009765,33.33,33.26
ENSG00000009780,23.54,23.51
ENSG00000009790,26.48,28.44
ENSG00000009830,24.01,24.16
ENSG00000009844,20.22,20.75
ENSG00000009950,23.95,23.25
ENSG00000009954,20.27,21.2
ENSG00000010017,19.88,19.92
ENSG00000010030,29.21,27.22
ENSG00000010072,22.69,23.35
ENSG00000010165,21.57,22.57
ENSG00000010219,23.45,23.45
ENSG00000010244,19.16,19.78
ENSG00000010256,19.3,20.03
ENSG00000010270,21.99,22.34
ENSG00000010278,18.43,19.49
ENSG00000010282,36.13,28.46
ENSG00000010292,18.91,23.01
ENSG00000010295,22.03,21.69
ENSG00000010310,24.67,26.49
ENSG00000010318,25.23,28.08
ENSG00000010319,28.09,27.06
ENSG00000010322,21.73,19.75
ENSG00000010327,26.97,24.11
ENSG00000010361,25.46,24.56
ENSG00000010379,32.11,24.41
ENSG00000010438,28.76,21.69
ENSG00000010539,23.13,24.19
ENSG00000010610,24.4,24.24
ENSG00000010626,23.79,23.69
ENSG00000010671,23.7,26.76
ENSG00000010704,23.34,26.52
ENSG00000010803,21.92,22.7
ENSG00000010810,20.56,19.57
ENSG00000010818,22.21,20.1
ENSG00000010932,30.01,30.49
ENSG00000011007,21.03,22.36
ENSG00000011009,21.12,23.11
ENSG00000011021,22.2,21.17
ENSG00000011028,21.44,24.89
ENSG00000243678,30.19,27.42
ENSG00000011083,34.65,22.15
ENSG00000011105,22.8,21.14
ENSG00000011114,22.16,22.45
ENSG00000011132,25.17,26.05
ENSG00000011198,22.33,23.13
ENSG00000011201,23.74,21.87
ENSG00000011243,21.24,21.13
ENSG00000011258,21.43,22.49
ENSG00000011260,20.47,21.59
ENSG00000011275,20.9,21.93
ENSG00000011295,24.63,24.63
ENSG00000011304,19.41,22.98
ENSG00000011332,24.66,22.06
ENSG00000011347,22.39,19.94
ENSG00000011376,21.97,23.1
ENSG00000011405,20.46,20.96
ENSG00000011422,43.8,24.17
ENSG00000011426,19.41,20.48
ENSG00000011451,23.35,24.12
ENSG00000011454,20.67,20.04
ENSG00000011465,20.87,20.98
ENSG00000011478,22.02,23.95
ENSG00000011485,21.41,21.68
ENSG00000011523,22.7,21.68
ENSG00000011566,22.98,23.07
ENSG00000011600,28.26,22.28
ENSG00000011638,21.98,22.51
ENSG00000011677,24.43,22.25
ENSG00000012048,21.31,25.01
ENSG00000012061,20.52,21.07
ENSG00000012124,26.33,22.97
ENSG00000012174,21.52,22.14
ENSG00000012211,23.1,26.32
ENSG00000012223,25.42,26.45
ENSG00000012232,21.61,21.36
ENSG00000012504,24.95,31.51
ENSG00000012660,19.86,20.84
ENSG00000012779,24.14,22.1
ENSG00000012817,22.88,22.46
ENSG00000012822,21.6,20.43
ENSG00000012963,20.43,21.07
ENSG00000012983,22.01,22.68
ENSG00000013016,24.36,20.3
ENSG00000013275,19.35,20.35
ENSG00000013288,22.22,22.48
ENSG00000013293,26.71,21.01
ENSG00000013297,36.6,32.3
ENSG00000013306,20.49,23.03
ENSG00000013364,20.42,21.97
ENSG00000013374,20.08,21.12
ENSG00000013375,20.17,21.59
ENSG00000013392,23.99,22.85
ENSG00000013441,0,23.45
ENSG00000013503,22.96,23.11
ENSG00000013523,21.9,21.89
ENSG00000013561,24.37,23.65
ENSG00000013563,21.47,23.06
ENSG00000013573,20.07,23.96
ENSG00000013583,21.25,21.5
ENSG00000013588,19.47,26.87
ENSG00000013619,22.26,22.86
ENSG00000013725,26.16,29.05
ENSG00000013810,20,25.54
ENSG00000014123,20.94,21.41
ENSG00000014138,21.22,23.59
ENSG00000014164,22.5,23.07
ENSG00000014216,20.03,21.36
ENSG00000014257,26.92,27.33
ENSG00000014641,18.71,17.84
ENSG00000014824,20.67,20.1
ENSG00000014914,23.27,24.61
ENSG00000014919,20.96,21.77
ENSG00000015133,23.5,25.28
ENSG00000015153,21.89,21.05
ENSG00000015171,21.71,20.31
ENSG00000015285,23.56,25.12
ENSG00000015413,25.38,31.6
ENSG00000015475,21.65,22.72
ENSG00000015479,18.08,17.92
ENSG00000015520,24.07,24.95
ENSG00000015532,21.24,22.46
ENSG00000015568,27.34,24.83
ENSG00000015592,32.75,19.05
ENSG00000015676,20.86,20.11
ENSG00000016082,37.79,41.88
ENSG00000016391,24.36,24.11
ENSG00000016402,27.01,24.04
ENSG00000016490,31.8,34.38
ENSG00000016602,0,24.56
ENSG00000016864,21.17,21.93
ENSG00000017260,19.89,19.96
ENSG00000017373,25.67,20.9
ENSG00000017427,28.19,28.9
ENSG00000017483,20.89,23.72
ENSG00000017621,25.28,23.58
ENSG00000017797,20.3,20.51
ENSG00000018189,21.92,19.52
ENSG00000018236,24.98,18.53
ENSG00000018280,26.5,25.31
ENSG00000018408,20.66,22.23
ENSG00000018510,19.9,21.43
ENSG00000018610,22.49,23.05
ENSG00000018625,24.43,17.46
ENSG00000018699,25.33,26.11
ENSG00000018869,26.13,25.08
ENSG00000019102,27.41,27.79
ENSG00000019144,21.89,20.37
ENSG00000019169,0,26.19
